wisata_id,nama_wisata,kategori,harga,fasilitas,lokasi
W1,Gunung Bromo,Alam,35000,"Parkir, Toilet, Warung, Spot Foto, Penginapan",Probolinggo
W2,Kawah Ijen,Alam,100000,"Parkir, Toilet, Warung, Spot Foto, Guide",Banyuwangi
W3,Pantai Klayar,Alam,10000,"Parkir, Toilet, Warung, Spot Foto",Pacitan
W4,Telaga Sarangan,Alam,15000,"Parkir, Toilet, Warung, Spot Foto, Perahu",Magetan
W5,Air Terjun Tumpak Sewu,Alam,10000,"Parkir, Toilet, Warung, Spot Foto",Lumajang
W6,Pantai Balekambang,Alam,15000,"Parkir, Toilet, Warung, Spot Foto",Malang
W7,Goa Gong Pacitan,Sejarah,20000,"Parkir, Toilet, Warung, Spot Foto, Guide",Pacitan
W8,Pantai Watu Karung,Alam,5000,"Parkir, Toilet, Warung, Spot Foto",Pacitan
